| title                       | rental_count | rental_rate | length |
| CADDYSHACK JEDI             |           16 |        0.99 |     52 |
| CASABLANCA SUPER            |           16 |        4.99 |     85 |
| CHICAGO NORTH               |           16 |        4.99 |    185 |
| COLDBLOODED DARLING         |           16 |        4.99 |     70 |
| COMMAND DARLING             |           16 |        4.99 |    120 |
| CONQUERER NUTS              |           16 |        4.99 |    173 |
| CRAFT OUTFIELD              |           16 |        0.99 |     64 |
| CREATURES SHAKESPEARE       |           16 |        0.99 |    139 |
| DAISY MENAGERIE             |           16 |        4.99 |     84 |
| DESTINY SATURDAY            |           16 |        4.99 |     56 |
| DUDE BLINDNESS              |           16 |        4.99 |    132 |
| GASLIGHT CRUSADE            |           16 |        2.99 |    106 |
| GRADUATE LORD               |           16 |        2.99 |    156 |
| HALL CASSIDY                |           16 |        4.99 |     51 |
| HOMEWARD CIDER              |           16 |        0.99 |    103 |
| INDIAN LOVE                 |           16 |        0.99 |    135 |
| JEEPERS WEDDING             |           16 |        2.99 |     84 |
| LOCK REAR                   |           16 |        2.99 |    120 |
| MERMAID INSECTS             |           16 |        4.99 |    104 |
| MOTIONS DETAILS             |           16 |        0.99 |    166 |
| MOULIN WAKE                 |           16 |        0.99 |     79 |
| MUMMY CREATURES             |           16 |        0.99 |    160 |
| PATRIOT ROMAN               |           16 |        2.99 |     65 |
| PAYCHECK WAIT               |           16 |        4.99 |    145 |
| PICKUP DRIVING              |           16 |        2.99 |     77 |
| PILOT HOOSIERS              |           16 |        2.99 |     50 |
| PLUTO OLEANDER              |           16 |        4.99 |     84 |
| PRIDE ALAMO                 |           16 |        0.99 |    114 |
| PURE RUNNER                 |           16 |        2.99 |    121 |
| QUILLS BULL                 |           16 |        4.99 |    112 |
| REAP UNFAITHFUL             |           16 |        2.99 |    136 |
| ROCKY WAR                   |           16 |        4.99 |    145 |
| RULES HUMAN                 |           16 |        4.99 |    153 |
| SAGEBRUSH CLUELESS          |           16 |        2.99 |    106 |
| SILENCE KANE                |           16 |        0.99 |     67 |
| SLIPPER FIDELITY            |           16 |        0.99 |    156 |
| STREAK RIDGEMONT            |           16 |        0.99 |    132 |
| SUMMER SCARFACE             |           16 |        0.99 |     53 |
| TRAP GUYS                   |           16 |        4.99 |    110 |
| UPRISING UPTOWN             |           16 |        2.99 |    174 |
| VARSITY TRIP                |           16 |        2.99 |     85 |
| WANDA CHAMBER               |           16 |        4.99 |    107 |
| WATCH TRACY                 |           16 |        0.99 |     78 |
| WEST LION                   |           16 |        4.99 |    159 |
| WILLOW TRACY                |           16 |        2.99 |    137 |
| WIZARD COLDBLOODED          |           16 |        4.99 |     75 |
| WORDS HUNTER                |           16 |        2.99 |    116 |
| WORST BANGER                |           16 |        2.99 |    185 |
| AIRPLANE SIERRA             |           15 |        4.99 |     62 |
| ANTHEM LUKE                 |           15 |        4.99 |     91 |
| BETRAYED REAR               |           15 |        4.99 |    122 |
| BOILED DARES                |           15 |        4.99 |    102 |
| CABIN FLASH                 |           15 |        0.99 |     53 |
| CHARADE DUFFEL              |           15 |        2.99 |     66 |
| CIRCUS YOUTH                |           15 |        2.99 |     90 |
| CYCLONE FAMILY              |           15 |        2.99 |    176 |
| DEVIL DESIRE                |           15 |        4.99 |     87 |
| DIRTY ACE                   |           15 |        2.99 |    147 |
| DIVINE RESURRECTION         |           15 |        2.99 |    100 |
| EDGE KISSING                |           15 |        4.99 |    153 |
| ENTRAPMENT SATISFACTION     |           15 |        0.99 |    176 |
| HOLES BRANNIGAN             |           15 |        4.99 |    128 |
| HOLIDAY GAMES               |           15 |        4.99 |     78 |
| HUMAN GRAFFITI              |           15 |        2.99 |     68 |
| HUNTING MUSKETEERS          |           15 |        2.99 |     65 |
| HYSTERICAL GRAIL            |           15 |        4.99 |    150 |
| ILLUSION AMELIE             |           15 |        0.99 |    122 |
| LABYRINTH LEAGUE            |           15 |        2.99 |     46 |
| LONELY ELEPHANT             |           15 |        2.99 |     67 |
| LOSER HUSTLER               |           15 |        4.99 |     80 |
| LUST LOCK                   |           15 |        2.99 |     52 |
| MADISON TRAP                |           15 |        2.99 |    147 |
| MANCHURIAN CURTAIN          |           15 |        2.99 |    177 |
| MODEL FISH                  |           15 |        4.99 |    175 |
| MODERN DORADO               |           15 |        0.99 |     74 |
| MONSTER SPARTACUS           |           15 |        2.99 |    107 |
| MOSQUITO ARMAGEDDON         |           15 |        0.99 |     57 |
| NASH CHOCOLAT               |           15 |        2.99 |    180 |
| NECKLACE OUTBREAK           |           15 |        0.99 |    132 |
| ODDS BOOGIE                 |           15 |        0.99 |     48 |
| PANKY SUBMARINE             |           15 |        4.99 |     93 |
| PANTHER REDS                |           15 |        4.99 |    109 |
| RINGS HEARTBREAKERS         |           15 |        0.99 |     58 |
| SCISSORHANDS SLUMS          |           15 |        2.99 |    147 |
| SHIP WONDERLAND             |           15 |        2.99 |    104 |
| SHREK LICENSE               |           15 |        2.99 |    154 |
| SIEGE MADRE                 |           15 |        0.99 |    111 |
| SIERRA DIVIDE               |           15 |        0.99 |    135 |
| SONS INTERVIEW              |           15 |        2.99 |    184 |
| SPIRIT FLINTSTONES          |           15 |        0.99 |    149 |
| STEERS ARMAGEDDON           |           15 |        4.99 |    140 |
| SUBMARINE BED               |           15 |        4.99 |    127 |
| SWEET BROTHERHOOD           |           15 |        2.99 |    185 |
| TOOTSIE PILOT               |           15 |        0.99 |    157 |
| TRANSLATION SUMMER          |           15 |        0.99 |    168 |
| VALLEY PACKER               |           15 |        0.99 |     73 |
| VIETNAM SMOOCHY             |           15 |        0.99 |    174 |
| WASTELAND DIVINE            |           15 |        2.99 |     85 |
| WORKER TARZAN               |           15 |        2.99 |    139 |
| ALLEY EVOLUTION             |           14 |        2.99 |    180 |
| ANALYZE HOOSIERS            |           14 |        2.99 |    181 |
| BLINDNESS GUN               |           14 |        4.99 |    103 |
| CONFESSIONS MAGUIRE         |           14 |        4.99 |     65 |
| CREEPERS KANE               |           14 |        4.99 |    172 |
| DANCES NONE                 |           14 |        0.99 |     58 |
| DAY UNFAITHFUL              |           14 |        4.99 |    113 |
| DEEP CRUSADE                |           14 |        4.99 |     51 |
| DONNIE ALLEY                |           14 |        0.99 |    125 |
| ELEPHANT TROJAN             |           14 |        4.99 |    126 |
| GAMES BOWFINGER             |           14 |        4.99 |    119 |
| GLASS DYING                 |           14 |        0.99 |    103 |
| GOLD RIVER                  |           14 |        4.99 |    154 |
| GREEDY ROOTS                |           14 |        0.99 |    166 |
| GRINCH MASSAGE              |           14 |        4.99 |    150 |
| HAMLET WISDOM               |           14 |        2.99 |    146 |
| HOME PITY                   |           14 |        4.99 |    185 |
| IMAGE PRINCESS              |           14 |        2.99 |    178 |
| IMPOSSIBLE PREJUDICE        |           14 |        4.99 |    103 |
| JAWS HARRY                  |           14 |        2.99 |    112 |
| KANE EXORCIST               |           14 |        0.99 |     92 |
| LOVELY JINGLE               |           14 |        2.99 |     65 |
| MADRE GABLES                |           14 |        2.99 |     98 |
| MOTHER OLEANDER             |           14 |        0.99 |    103 |
| NEMO CAMPUS                 |           14 |        2.99 |    131 |
| NOTORIOUS REUNION           |           14 |        0.99 |    128 |
| OUTLAW HANKY                |           14 |        4.99 |    148 |
| PAJAMA JAWBREAKER           |           14 |        0.99 |    126 |
| PARIS WEEKEND               |           14 |        2.99 |    121 |
| PEACH INNOCENT              |           14 |        2.99 |    160 |
| PERSONAL LADYBUGS           |           14 |        0.99 |    118 |
| SADDLE ANTITRUST            |           14 |        2.99 |     80 |
| SEARCHERS WAIT              |           14 |        2.99 |    182 |
| SHANE DARKNESS              |           14 |        2.99 |     93 |
| SHANGHAI TYCOON             |           14 |        2.99 |     47 |
| SHRUNK DIVINE               |           14 |        2.99 |    139 |
| SPLASH GUMP                 |           14 |        0.99 |    175 |
| STAMPEDE DISTURBING         |           14 |        0.99 |     75 |
| STOCK GLASS                 |           14 |        2.99 |    160 |
| TOMATOES HELLFIGHTERS       |           14 |        0.99 |     68 |
| TOWN ARK                    |           14 |        2.99 |    136 |
| TROOPERS METAL              |           14 |        0.99 |    115 |
| TURN STAR                   |           14 |        2.99 |     80 |
| UNCUT SUICIDES              |           14 |        2.99 |    172 |
| VIRTUAL SPOILERS            |           14 |        4.99 |    144 |
| WEREWOLF LOLA               |           14 |        4.99 |     79 |
| WRATH MILE                  |           14 |        0.99 |    176 |
| ANONYMOUS HUMAN             |           13 |        0.99 |    179 |
| ARABIA DOGMA                |           13 |        0.99 |     62 |
| BEDAZZLED MARRIED           |           13 |        0.99 |     73 |
| BEHAVIOR RUNAWAY            |           13 |        4.99 |    100 |
| BILKO ANONYMOUS             |           13 |        4.99 |    100 |
| BREAKING HOME               |           13 |        2.99 |    169 |
| BRIGHT ENCOUNTERS           |           13 |        4.99 |     73 |
| CHAMBER ITALIAN             |           13 |        4.99 |    117 |
| CHAMPION FLATLINERS         |           13 |        4.99 |     51 |
| CHISUM BEHAVIOR             |           13 |        4.99 |    124 |
| CINCINATTI WHISPERER        |           13 |        4.99 |    143 |
| CITIZEN SHREK               |           13 |        0.99 |    165 |
| CONNECTICUT TRAMP           |           13 |        4.99 |    172 |
| DADDY PITTSBURGH            |           13 |        4.99 |    161 |
| DARKNESS WAR                |           13 |        2.99 |     99 |
| DATE SPEED                  |           13 |        0.99 |    104 |
| DRUMS DYNAMITE              |           13 |        0.99 |     96 |
| EVERYONE CRAFT              |           13 |        0.99 |    163 |
| EXORCIST STING              |           13 |        2.99 |    167 |
| EXPRESS LONELY              |           13 |        2.99 |    178 |
| FLASH WARS                  |           13 |        4.99 |    123 |
| FOREVER CANDIDATE           |           13 |        2.99 |    131 |
| HOLLYWOOD ANONYMOUS         |           13 |        0.99 |     69 |
| HOOK CHARIOTS               |           13 |        0.99 |     49 |
| HUNGER ROOF                 |           13 |        0.99 |    105 |
| IDENTITY LOVER              |           13 |        2.99 |    119 |
| JINGLE SAGEBRUSH            |           13 |        4.99 |    124 |
| LAWRENCE LOVE               |           13 |        0.99 |    175 |
| LUCKY FLYING                |           13 |        2.99 |     97 |
| MEMENTO ZOOLANDER           |           13 |        4.99 |     77 |
| MICROCOSMOS PARADISE        |           13 |        2.99 |    105 |
| MILE MULAN                  |           13 |        0.99 |     64 |
| MONTEREY LABYRINTH          |           13 |        0.99 |    158 |
| MOONWALKER FOOL             |           13 |        4.99 |    184 |
| MULAN MOON                  |           13 |        0.99 |    160 |
| NATURAL STOCK               |           13 |        0.99 |     50 |
| OPPOSITE NECKLACE           |           13 |        4.99 |     92 |
| PARTY KNOCK                 |           13 |        2.99 |    107 |
| PAST SUICIDES               |           13 |        4.99 |    157 |
| PURPLE MOVIE                |           13 |        2.99 |     88 |
| RAGING AIRPLANE             |           13 |        4.99 |    154 |
| ROBBERY BRIGHT              |           13 |        0.99 |    134 |
| SASSY PACKER                |           13 |        0.99 |    154 |
| SATURN NAME                 |           13 |        4.99 |    182 |
| SPIKING ELEMENT             |           13 |        2.99 |     79 |
| SPINAL ROCKY                |           13 |        2.99 |    138 |
| STATE WASTELAND             |           13 |        2.99 |    113 |
| SUPER WYOMING               |           13 |        4.99 |     58 |
| TENENBAUMS COMMAND          |           13 |        0.99 |     99 |
| TUXEDO MILE                 |           13 |        2.99 |    152 |
| USUAL UNTOUCHABLES          |           13 |        4.99 |    128 |
| WYOMING STORM               |           13 |        4.99 |    100 |
| ADAPTATION HOLES            |           12 |        2.99 |     50 |
| AFRICAN EGG                 |           12 |        2.99 |    130 |
| ALABAMA DEVIL               |           12 |        2.99 |    114 |
| BLANKET BEVERLY             |           12 |        2.99 |    148 |
| BORN SPINAL                 |           12 |        4.99 |    179 |
| BRANNIGAN SUNRISE           |           12 |        4.99 |    121 |
| CALIFORNIA BIRDS            |           12 |        4.99 |     75 |
| CROW GREASE                 |           12 |        0.99 |    104 |
| DANGEROUS UPTOWN            |           12 |        4.99 |    121 |
| EVOLUTION ALTER             |           12 |        0.99 |    174 |
| FINDING ANACONDA            |           12 |        0.99 |    156 |
| FLIGHT LIES                 |           12 |        4.99 |    179 |
| GUNFIGHTER MUSSOLINI        |           12 |        2.99 |    127 |
| HEDWIG ALTER                |           12 |        2.99 |    169 |
| LIBERTY MAGNIFICENT         |           12 |        2.99 |    138 |
| LOST BIRD                   |           12 |        2.99 |     98 |
| LOVERBOY ATTACKS            |           12 |        0.99 |    162 |
| MASSAGE IMAGE               |           12 |        2.99 |    161 |
| MEET CHOCOLATE              |           12 |        2.99 |     80 |
| MIGHTY LUCK                 |           12 |        2.99 |    122 |
| MINORITY KISS               |           12 |        0.99 |     59 |
| MOB DUFFEL                  |           12 |        0.99 |    105 |
| PITTSBURGH HUNCHBACK        |           12 |        4.99 |    134 |
| SAVANNAH TOWN               |           12 |        0.99 |     84 |
| SIDE ARK                    |           12 |        0.99 |     52 |
| SILVERADO GOLDFINGER        |           12 |        4.99 |     74 |
| SMOOCHY CONTROL             |           12 |        0.99 |    184 |
| SORORITY QUEEN              |           12 |        0.99 |    184 |
| SPEAKEASY DATE              |           12 |        2.99 |    165 |
| TEMPLE ATTRACTION           |           12 |        4.99 |     71 |
| TYCOON GATHERING            |           12 |        4.99 |     82 |
| UPTOWN YOUNG                |           12 |        2.99 |     84 |
| VALENTINE VANISHING         |           12 |        0.99 |     48 |
| VAMPIRE WHALE               |           12 |        4.99 |    126 |
| WAR NOTTING                 |           12 |        4.99 |     80 |
| WINDOW SIDE                 |           12 |        2.99 |     85 |
| AUTUMN CROW                 |           11 |        4.99 |    108 |
| BEAST HUNCHBACK             |           11 |        4.99 |     89 |
| BEETHOVEN EXORCIST          |           11 |        0.99 |    151 |
| BIRCH ANTITRUST             |           11 |        4.99 |    162 |
| BIRD INDEPENDENCE           |           11 |        4.99 |    163 |
| BOWFINGER GABLES            |           11 |        4.99 |     72 |
| BUGSY SONG                  |           11 |        2.99 |    119 |
| CRANES RESERVOIR            |           11 |        2.99 |     57 |
| DARKO DORADO                |           11 |        4.99 |    130 |
| DRAGON SQUAD                |           11 |        0.99 |    170 |
| DRUMLINE CYCLONE            |           11 |        0.99 |    110 |
| ENDING CROWDS               |           11 |        0.99 |     85 |
| FEATHERS METAL              |           11 |        0.99 |    104 |
| FRIDA SLIPPER               |           11 |        2.99 |     73 |
| FUGITIVE MAGUIRE            |           11 |        4.99 |     83 |
| GATHERING CALENDAR          |           11 |        0.99 |    176 |
| IRON MOON                   |           11 |        4.99 |     46 |
| LANGUAGE COWBOY             |           11 |        0.99 |     78 |
| LORD ARIZONA                |           11 |        2.99 |    108 |
| MAGNOLIA FORRESTER          |           11 |        0.99 |    171 |
| MOD SECRETARY               |           11 |        4.99 |     77 |
| NORTH TEQUILA               |           11 |        4.99 |     67 |
| OCTOBER SUBMARINE           |           11 |        4.99 |     54 |
| OPUS ICE                    |           11 |        4.99 |    102 |
| POTLUCK MIXED               |           11 |        2.99 |    179 |
| PRIX UNDEFEATED             |           11 |        2.99 |    115 |
| REEF SALUTE                 |           11 |        0.99 |    123 |
| RIDER CADDYSHACK            |           11 |        2.99 |    177 |
| SANTA PARIS                 |           11 |        2.99 |    154 |
| SONG HEDWIG                 |           11 |        0.99 |    165 |
| SPIRITED CASUALTIES         |           11 |        0.99 |    138 |
| STONE FIRE                  |           11 |        0.99 |     94 |
| STRANGER STRANGERS          |           11 |        4.99 |    139 |
| THEORY MERMAID              |           11 |        0.99 |    184 |
| THIN SAGEBRUSH              |           11 |        4.99 |     53 |
| TIES HUNGER                 |           11 |        4.99 |    111 |
| TOWERS HURRICANE            |           11 |        0.99 |    144 |
| TRAINSPOTTING STRANGERS     |           11 |        4.99 |    132 |
| TWISTED PIRATES             |           11 |        4.99 |    152 |
| AMELIE HELLFIGHTERS         |           10 |        4.99 |     79 |
| ANTITRUST TOMATOES          |           10 |        2.99 |    168 |
| BENEATH RUSH                |           10 |        0.99 |     53 |
| BLOOD ARGONAUTS             |           10 |        0.99 |     71 |
| CLOCKWORK PARADISE          |           10 |        0.99 |    143 |
| DOUBTFIRE LABYRINTH         |           10 |        4.99 |    154 |
| ELEMENT FREDDY              |           10 |        4.99 |    115 |
| ELIZABETH SHANE             |           10 |        4.99 |    152 |
| FIDDLER LOST                |           10 |        4.99 |     75 |
| FROGMEN BREAKING            |           10 |        0.99 |    111 |
| GONE TROUBLE                |           10 |        2.99 |     84 |
| GRAIL FRANKENSTEIN          |           10 |        2.99 |     85 |
| HALLOWEEN NUTS              |           10 |        2.99 |     47 |
| HOLLOW JEOPARDY             |           10 |        4.99 |    136 |
| JAWBREAKER BROOKLYN         |           10 |        0.99 |    118 |
| JEOPARDY ENCINO             |           10 |        0.99 |    102 |
| LAMBS CINCINATTI            |           10 |        4.99 |    144 |
| LIFE TWISTED                |           10 |        2.99 |    137 |
| LOLITA WORLD                |           10 |        2.99 |    155 |
| LOVER TRUMAN                |           10 |        2.99 |     75 |
| LUCK OPUS                   |           10 |        2.99 |    152 |
| MADIGAN DORADO              |           10 |        4.99 |    116 |
| MAKER GABLES                |           10 |        0.99 |    136 |
| MYSTIC TRUMAN               |           10 |        0.99 |     92 |
| NOTTING SPEAKEASY           |           10 |        0.99 |     48 |
| OLEANDER CLUE               |           10 |        0.99 |    161 |
| PATHS CONTROL               |           10 |        4.99 |    118 |
| RESERVOIR ADAPTATION        |           10 |        2.99 |     61 |
| RIGHT CRANES                |           10 |        4.99 |    153 |
| ROLLERCOASTER BRINGING      |           10 |        2.99 |    153 |
| RUN PACIFIC                 |           10 |        0.99 |    145 |
| SENSIBILITY REAR            |           10 |        4.99 |     98 |
| SMILE EARRING               |           10 |        2.99 |     60 |
| SPOILERS HELLFIGHTERS       |           10 |        0.99 |    151 |
| STAGE WORLD                 |           10 |        2.99 |     85 |
| SUPERFLY TRIP               |           10 |        0.99 |    114 |
| WAGON JAWS                  |           10 |        2.99 |    152 |
| WARS PLUTO                  |           10 |        2.99 |    128 |
| ALI FOREVER                 |            9 |        4.99 |    150 |
| ANYTHING SAVANNAH           |            9 |        2.99 |     82 |
| BIRDCAGE CASPER             |            9 |        0.99 |    103 |
| CARIBBEAN LIBERTY           |            9 |        4.99 |     92 |
| CASUALTIES ENCINO           |            9 |        4.99 |    179 |
| CRAZY HOME                  |            9 |        2.99 |    136 |
| DARES PLUTO                 |            9 |        2.99 |     89 |
| DARLING BREAKING            |            9 |        4.99 |    165 |
| DAUGHTER MADIGAN            |            9 |        4.99 |     59 |
| DIARY PANIC                 |            9 |        2.99 |    107 |
| DOLLS RAGE                  |            9 |        2.99 |    120 |
| DROP WATERFRONT             |            9 |        4.99 |    178 |
| DWARFS ALTER                |            9 |        2.99 |    101 |
| FRISCO FORREST              |            9 |        4.99 |     51 |
| GHOSTBUSTERS ELF            |            9 |        0.99 |    101 |
| GILBERT PELICAN             |            9 |        0.99 |    114 |
| GUYS FALCON                 |            9 |        4.99 |     84 |
| HOLY TADPOLE                |            9 |        0.99 |     88 |
| HOTEL HAPPINESS             |            9 |        4.99 |    181 |
| IMPACT ALADDIN              |            9 |        0.99 |    180 |
| INTOLERABLE INTENTIONS      |            9 |        4.99 |     63 |
| JUNGLE CLOSER               |            9 |        0.99 |    134 |
| KING EVOLUTION              |            9 |        4.99 |    184 |
| KRAMER CHOCOLATE            |            9 |        2.99 |    171 |
| LEGALLY SECRETARY           |            9 |        4.99 |    113 |
| LEGEND JEDI                 |            9 |        0.99 |     59 |
| MAGUIRE APACHE              |            9 |        2.99 |     74 |
| MATRIX SNOWMAN              |            9 |        4.99 |     56 |
| MIRACLE VIRTUAL             |            9 |        2.99 |    162 |
| MONSOON CAUSE               |            9 |        4.99 |    182 |
| MONTEZUMA COMMAND           |            9 |        0.99 |    126 |
| NUTS TIES                   |            9 |        4.99 |    145 |
| PLATOON INSTINCT            |            9 |        4.99 |    132 |
| RANDOM GO                   |            9 |        2.99 |     73 |
| REDS POCUS                  |            9 |        4.99 |    182 |
| SNATCHERS MONTEZUMA         |            9 |        2.99 |     74 |
| SPARTACUS CHEAPER           |            9 |        4.99 |     52 |
| SPEED SUIT                  |            9 |        4.99 |    124 |
| VANILLA DAY                 |            9 |        4.99 |    122 |
| VICTORY ACADEMY             |            9 |        0.99 |     64 |
| WISDOM WORKER               |            9 |        0.99 |     98 |
| WON DARES                   |            9 |        2.99 |    105 |
| WONDERFUL DROP              |            9 |        2.99 |    126 |
| ZHIVAGO CORE                |            9 |        0.99 |    105 |
| BABY HALL                   |            8 |        4.99 |    153 |
| BALLROOM MOCKINGBIRD        |            8 |        0.99 |    173 |
| CASPER DRAGONFLY            |            8 |        4.99 |    163 |
| CHAPLIN LICENSE             |            8 |        2.99 |    146 |
| CHITTY LOCK                 |            8 |        2.99 |    107 |
| CLYDE THEORY                |            8 |        0.99 |    139 |
| CRUSADE HONEY               |            8 |        2.99 |    112 |
| DESIRE ALIEN                |            8 |        2.99 |     76 |
| DESTINATION JERK            |            8 |        0.99 |     76 |
| GODFATHER DIARY             |            8 |        2.99 |     73 |
| GOSFORD DONNIE              |            8 |        4.99 |    129 |
| GROSSE WONDERFUL            |            8 |        4.99 |     49 |
| HAROLD FRENCH               |            8 |        0.99 |    168 |
| HOOSIERS BIRDCAGE           |            8 |        2.99 |    176 |
| JUMANJI BLADE               |            8 |        2.99 |    121 |
| LIGHTS DEER                 |            8 |        0.99 |    174 |
| MAGNIFICENT CHITTY          |            8 |        2.99 |     53 |
| MAUDE MOD                   |            8 |        0.99 |     72 |
| PAPI NECKLACE               |            8 |        0.99 |    128 |
| PARK CITIZEN                |            8 |        4.99 |    109 |
| PET HAUNTING                |            8 |        0.99 |     99 |
| PUNK DIVORCE                |            8 |        4.99 |    100 |
| REBEL AIRPORT               |            8 |        0.99 |     73 |
| RECORDS ZORRO               |            8 |        4.99 |    182 |
| RUNAWAY TENENBAUMS          |            8 |        0.99 |    181 |
| RUNNER MADIGAN              |            8 |        0.99 |    101 |
| SAINTS BRIDE                |            8 |        2.99 |    125 |
| SHINING ROSES               |            8 |        0.99 |    125 |
| SOLDIERS EVOLUTION          |            8 |        4.99 |    185 |
| SOUP WISDOM                 |            8 |        0.99 |    169 |
| SUNSET RACER                |            8 |        0.99 |     48 |
| TARZAN VIDEOTAPE            |            8 |        2.99 |     91 |
| UNFAITHFUL KILL             |            8 |        2.99 |     78 |
| UNTOUCHABLES SUNRISE        |            8 |        2.99 |    120 |
| VERTIGO NORTHWEST           |            8 |        2.99 |     90 |
| WORLD LEATHERNECKS          |            8 |        0.99 |    171 |
| ACE GOLDFINGER              |            7 |        4.99 |     48 |
| BANG KWAI                   |            7 |        2.99 |     87 |
| BULWORTH COMMANDMENTS       |            7 |        2.99 |     61 |
| CLERKS ANGELS               |            7 |        4.99 |    164 |
| CLUE GRAIL                  |            7 |        4.99 |     70 |
| CONNECTION MICROCOSMOS      |            7 |        0.99 |    115 |
| CONTROL ANTHEM              |            7 |        4.99 |    185 |
| COWBOY DOOM                 |            7 |        2.99 |    146 |
| CRUELTY UNFORGIVEN          |            7 |        0.99 |     69 |
| DIVORCE SHINING             |            7 |        2.99 |     47 |
| DOCTOR GRAIL                |            7 |        2.99 |     57 |
| DOZEN LION                  |            7 |        4.99 |    177 |
| DUFFEL APOCALYPSE           |            7 |        0.99 |    171 |
| EARLY HOME                  |            7 |        4.99 |     96 |
| ELF MURDER                  |            7 |        4.99 |    155 |
| EVE RESURRECTION            |            7 |        4.99 |     66 |
| FIRE WOLVES                 |            7 |        4.99 |    173 |
| HAWK CHILL                  |            7 |        0.99 |     47 |
| HEAVENLY GUN                |            7 |        4.99 |     49 |
| ISHTAR ROCKETEER            |            7 |        4.99 |     79 |
| LEATHERNECKS DWARFS         |            7 |        2.99 |    153 |
| LESSON CLEOPATRA            |            7 |        0.99 |    167 |
| LICENSE WEEKEND             |            7 |        2.99 |     91 |
| LUKE MUMMY                  |            7 |        2.99 |     74 |
| MAGIC MALLRATS              |            7 |        0.99 |    117 |
| MENAGERIE RUSHMORE          |            7 |        2.99 |    147 |
| MULHOLLAND BEAST            |            7 |        2.99 |    157 |
| NEWSIES STORY               |            7 |        0.99 |    159 |
| PANIC CLUB                  |            7 |        4.99 |    102 |
| PIZZA JUMANJI               |            7 |        2.99 |    173 |
| PRESIDENT BANG              |            7 |        4.99 |    144 |
| SENSE GREEK                 |            7 |        4.99 |     54 |
| SQUAD FISH                  |            7 |        2.99 |    136 |
| STALLION SUNDANCE           |            7 |        0.99 |    130 |
| TREATMENT JEKYLL            |            7 |        0.99 |     87 |
| VANISHED GARDEN             |            7 |        0.99 |    142 |
| VISION TORQUE               |            7 |        0.99 |     59 |
| YOUNG LANGUAGE              |            7 |        0.99 |    183 |
| APOCALYPSE FLAMINGOS        |            6 |        4.99 |    119 |
| BED HIGHBALL                |            6 |        2.99 |    106 |
| BUBBLE GROSSE               |            6 |        4.99 |     60 |
| CASSIDY WYOMING             |            6 |        2.99 |     61 |
| COMANCHEROS ENEMY           |            6 |        0.99 |     67 |
| DESPERATE TRAINSPOTTING     |            6 |        4.99 |     81 |
| DUCK RACER                  |            6 |        2.99 |    116 |
| DUMBO LUST                  |            6 |        0.99 |    119 |
| EXTRAORDINARY CONQUERER     |            6 |        2.99 |    122 |
| FRONTIER CABIN              |            6 |        4.99 |    183 |
| GRACELAND DYNAMITE          |            6 |        4.99 |    140 |
| HAPPINESS UNITED            |            6 |        2.99 |    100 |
| HAUNTED ANTITRUST           |            6 |        4.99 |     76 |
| ITALIAN AFRICAN             |            6 |        4.99 |    174 |
| JAPANESE RUN                |            6 |        0.99 |    135 |
| JERSEY SASSY                |            6 |        4.99 |     60 |
| KILLER INNOCENT             |            6 |        2.99 |    161 |
| LADYBUGS ARMAGEDDON         |            6 |        0.99 |    113 |
| OKLAHOMA JUMANJI            |            6 |        0.99 |     58 |
| PHANTOM GLORY               |            6 |        2.99 |     60 |
| RUSHMORE MERMAID            |            6 |        2.99 |    150 |
| SCHOOL JACKET               |            6 |        4.99 |    151 |
| SIMON NORTH                 |            6 |        0.99 |     51 |
| SLING LUKE                  |            6 |        0.99 |     84 |
| TEQUILA PAST                |            6 |        4.99 |     53 |
| TERMINATOR CLUB             |            6 |        4.99 |     88 |
| TEXAS WATCH                 |            6 |        0.99 |    179 |
| WARLOCK WEREWOLF            |            6 |        2.99 |     83 |
| WATERSHIP FRONTIER          |            6 |        0.99 |    112 |
| WILD APOLLO                 |            6 |        0.99 |    181 |
| YOUTH KICK                  |            6 |        0.99 |    179 |
| BRAVEHEART HUMAN            |            5 |        2.99 |    176 |
| BUNCH MINDS                 |            5 |        2.99 |     63 |
| CONSPIRACY SPIRIT           |            5 |        2.99 |    184 |
| FEVER EMPIRE                |            5 |        4.99 |    158 |
| FREEDOM CLEOPATRA           |            5 |        0.99 |    133 |
| FULL FLATLINERS             |            5 |        2.99 |     94 |
| GLORY TRACY                 |            5 |        2.99 |    115 |
| HUNTER ALTER                |            5 |        2.99 |    125 |
| INFORMER DOUBLE             |            5 |        4.99 |     74 |
| MANNEQUIN WORST             |            5 |        2.99 |     71 |
| MUSSOLINI SPOILERS          |            5 |        2.99 |    180 |
| PRIVATE DROP                |            5 |        4.99 |    106 |
| SEVEN SWARM                 |            5 |        4.99 |    127 |
| TRAFFIC HOBBIT              |            5 |        4.99 |    139 |
| HARDLY ROBBERS              |            4 |        2.99 |     72 |
| MIXED DOORS                 |            4 |        2.99 |    180 |
| TRAIN BUNCH                 |            4 |        4.99 |     71 |
